Name,Score,1_Score,1_Halfway Score,1_Driving Accuracy,1_Greens In Regulation,1_Putting Average,1_Stroke Differential,1_Scrambling,1_Birdie/Bogey,1_Consecutive Cuts,1_Time,2_Score,2_Halfway Score,2_Driving Accuracy,2_Greens In Regulation,2_Putting Average,2_Stroke Differential,2_Scrambling,2_Birdie/Bogey,2_Consecutive Cuts,2_Time
Justin Thomas,10.0,0.0,7.0,60.71,72.22,1.712,3.63,65.0,2.56,2.0,4.0,10.0,6.0,50.0,68.06,1.612,1.62,52.17,1.75,1.0,6.0
Harris English,10.0,11.0,8.0,64.29,59.72,1.814,1.05,62.07,1.08,2.0,5.0,28.0,14.0,66.07,45.83,1.758,-2.88,61.54,0.89,1.0,6.0
Viktor Hovland,10.0,15.0,2.0,44.64,50.0,1.694,0.05,50.0,1.0,22.0,5.0,3.0,7.0,76.79,77.78,1.661,3.37,62.5,3.13,21.0,6.0
Phil Mickelson,10.0,10.0,11.0,53.57,75.0,1.833,1.61,61.11,1.45,2.0,3.0,11.0,8.0,64.29,72.22,1.712,0.88,45.0,1.36,1.0,4.0
Ian Poulter,11.0,11.0,8.0,62.5,55.56,1.775,1.05,71.88,1.1,5.0,5.0,12.0,8.0,57.14,73.61,1.792,0.81,73.68,1.88,4.0,7.0
Bubba Watson,11.0,23.0,16.0,71.43,66.67,1.854,-1.63,50.0,0.92,1.0,6.0,8.0,9.0,55.36,72.22,1.846,1.06,85.0,4.67,1.0,10.0
Matt Jones,11.0,0.0,3.0,64.29,72.22,1.712,4.11,65.0,2.1,2.0,3.0,14.0,9.0,44.64,62.5,1.733,0.13,55.56,1.0,1.0,4.0
Louis Oosthuizen,11.0,12.0,7.0,57.14,69.44,1.84,0.63,59.09,1.08,4.0,4.0,6.0,4.0,76.79,68.06,1.633,2.62,56.52,2.09,3.0,6.0
Charl Schwartzel,11.0,21.0,9.0,42.86,58.33,1.786,-0.6,70.0,1.0,2.0,1.0,15.0,11.0,62.5,66.67,1.896,0.36,58.33,0.77,1.0,3.0
Paul Casey,11.0,3.0,5.0,60.71,70.83,1.725,2.88,71.43,2.3,7.0,4.0,8.0,4.0,55.36,58.33,1.786,1.8,70.0,1.2,6.0,5.0
Abraham Ancer,11.0,14.0,10.0,66.07,69.44,1.78,1.15,81.82,2.17,4.0,1.0,9.0,7.0,73.21,68.06,1.878,1.38,73.91,1.5,2.0,4.0
Cameron Champ,11.0,16.0,11.0,44.64,66.67,1.688,0.65,58.33,1.55,1.0,1.0,21.0,9.0,62.5,65.28,1.894,-1.13,60.0,0.92,1.0,6.0
Michael Thompson,12.0,9.0,9.0,60.71,66.67,1.813,1.86,70.83,1.86,2.0,3.0,13.0,9.0,66.07,69.44,1.8,0.38,50.0,1.17,1.0,4.0
Matt Fitzpatrick,12.0,6.0,1.0,71.43,76.39,1.8,2.13,41.18,1.46,4.0,4.0,8.0,5.0,55.36,58.33,1.738,1.8,63.33,1.55,3.0,5.0
Matt Wallace,12.0,4.0,2.0,51.79,73.61,1.717,3.65,84.21,4.5,2.0,1.0,9.0,8.0,51.79,50.0,1.639,1.55,58.33,1.13,1.0,5.0
Ryan Palmer,12.0,13.0,8.0,60.71,69.44,1.76,1.4,68.18,1.67,11.0,1.0,7.0,7.0,57.14,70.83,1.804,1.88,76.19,1.75,9.0,4.0
Henrik Stenson,13.0,8.0,9.0,78.57,80.56,1.707,1.23,57.14,2.71,1.0,16.0,9.0,7.0,82.14,70.83,1.784,1.35,71.43,2.29,1.0,24.0
Martin Laird,13.0,15.0,10.0,62.5,62.5,1.733,0.9,66.67,1.27,3.0,1.0,19.0,9.0,69.64,69.44,1.9,-1.12,40.91,0.82,2.0,4.0
Bernd Wiesberger,14.0,12.0,8.0,50.0,58.33,1.738,0.8,56.67,1.08,8.0,5.0,25.0,18.0,62.5,59.72,1.86,-2.13,51.72,0.65,7.0,6.0
Gary Woodland,14.0,9.0,8.0,50.0,61.11,1.727,2.4,71.43,2.0,1.0,1.0,19.0,7.0,73.21,59.72,1.791,-0.63,55.17,1.15,1.0,6.0
Mackenzie Hughes,14.0,13.0,12.0,51.79,58.33,1.738,0.86,60.0,1.08,1.0,3.0,20.0,13.0,62.5,66.67,1.771,-0.88,54.17,1.17,2.0,6.0
Joaquin Niemann,14.0,10.0,8.0,60.71,66.67,1.75,1.61,58.33,1.36,14.0,3.0,10.0,9.0,46.43,75.0,1.796,1.13,50.0,1.4,13.0,4.0
Christiaan Bezuidenhout,14.0,12.0,7.0,66.07,58.33,1.738,0.63,70.0,1.2,6.0,4.0,6.0,5.0,50.0,58.33,1.69,2.3,73.33,1.67,5.0,5.0
Sebastián Muñoz,14.0,10.0,7.0,48.21,65.28,1.638,2.15,64.0,1.67,2.0,1.0,15.0,9.0,57.14,58.33,1.81,0.05,53.33,1.0,3.0,5.0
Tommy Fleetwood,15.0,8.0,5.0,46.43,61.11,1.864,1.8,75.0,1.33,6.0,5.0,20.0,14.0,76.79,72.22,1.827,-0.88,50.0,1.0,5.0,6.0
Brendon Todd,15.0,11.0,8.0,78.57,66.67,1.708,0.88,58.33,1.33,3.0,4.0,16.0,9.0,64.29,55.56,1.8,-0.2,62.5,0.79,2.0,5.0
Bryson DeChambeau,15.0,2.0,3.0,53.57,69.44,1.66,3.13,68.18,2.63,3.0,4.0,0.0,3.0,57.14,69.44,1.76,3.8,68.18,2.57,2.0,5.0
Jason Kokrak,17.0,6.0,7.0,58.93,73.61,1.717,2.13,63.16,2.57,7.0,4.0,7.0,6.0,57.14,66.67,1.833,2.05,58.33,1.55,6.0,5.0
Billy Horschel,18.0,15.0,9.0,66.07,70.83,1.804,-0.12,52.38,1.09,1.0,4.0,3.0,1.0,82.14,77.78,1.679,3.37,75.0,3.33,2.0,6.0
Francesco Molinari,19.0,6.0,11.0,53.57,48.61,1.657,1.85,81.08,2.0,4.0,8.0,18.0,7.0,71.43,65.28,1.809,-0.27,68.0,1.38,3.0,9.0
Jim Herman,20.0,15.0,13.0,53.57,70.83,1.843,0.36,42.86,0.88,1.0,3.0,9.0,5.0,76.79,81.94,1.763,0.75,53.85,2.86,4.0,13.0
Adam Scott,21.0,8.0,8.0,66.07,73.61,1.811,2.11,57.89,1.45,13.0,3.0,13.0,8.0,46.43,61.11,1.705,0.38,57.14,1.31,12.0,4.0
Jordan Spieth,0.0,13.0,9.0,64.29,77.78,1.821,0.38,43.75,1.33,5.0,3.0,5.0,4.0,51.79,59.72,1.767,2.55,65.52,1.36,4.0,4.0
Charley Hoffman,2.0,10.0,4.0,76.79,58.33,1.81,0.89,70.0,1.4,5.0,1.0,7.0,3.0,41.07,73.61,1.774,1.88,52.63,1.46,4.0,3.0
Matt Wallace,4.0,9.0,8.0,51.79,50.0,1.639,1.55,58.33,1.13,1.0,4.0,10.0,7.0,64.29,76.39,1.655,0.73,41.18,1.83,3.0,15.0
Lucas Glover,6.0,9.0,9.0,58.93,55.56,1.725,1.86,68.75,1.42,4.0,2.0,13.0,9.0,67.86,66.67,1.729,0.38,45.83,1.36,3.0,3.0
Anirban Lahiri,8.0,13.0,8.0,48.21,62.5,1.733,0.56,70.37,1.4,1.0,6.0,13.0,6.0,42.86,70.83,1.647,-0.25,57.14,2.1,5.0,12.0
Brandt Snedeker,9.0,19.0,11.0,55.36,56.94,1.878,-0.95,64.52,0.71,1.0,4.0,11.0,4.0,48.21,63.89,1.696,1.12,53.85,1.15,1.0,10.0
Chris Kirk,9.0,10.0,11.0,60.71,66.67,1.813,1.61,75.0,1.38,4.0,2.0,13.0,2.0,64.29,66.67,1.792,0.38,54.17,1.23,3.0,3.0
Gary Woodland,9.0,19.0,7.0,73.21,59.72,1.791,-0.63,55.17,1.15,1.0,5.0,14.0,6.0,44.64,69.44,1.76,0.42,50.0,1.21,2.0,10.0
Patton Kizzire,10.0,11.0,4.0,62.5,70.83,1.725,0.88,47.62,1.33,12.0,3.0,16.0,10.0,48.21,58.33,1.833,-0.2,56.67,0.82,11.0,4.0
Cameron Tringale,10.0,8.0,7.0,73.21,65.28,1.766,2.11,72.0,1.86,1.0,2.0,12.0,10.0,57.14,55.56,1.75,0.8,65.63,1.0,8.0,4.0
Sebastián Muñoz,10.0,15.0,9.0,57.14,58.33,1.81,0.05,53.33,1.0,3.0,4.0,12.0,8.0,78.57,77.78,1.768,1.12,50.0,1.6,2.0,5.0
Matt Kuchar,11.0,20.0,12.0,69.64,59.72,1.581,-0.88,37.93,1.0,1.0,5.0,11.0,6.0,60.71,73.61,1.736,0.31,57.89,2.0,1.0,9.0
Tom Hoge,11.0,9.0,5.0,58.93,62.5,1.778,1.38,62.96,1.45,1.0,3.0,14.0,11.0,48.21,55.56,1.825,-0.15,62.5,0.82,2.0,7.0
Kyle Stanley,12.0,11.0,11.0,44.64,50.0,1.778,0.6,75.0,1.2,5.0,7.0,14.0,8.0,80.36,76.39,1.818,0.43,47.06,1.5,4.0,8.0
Corey Conners,12.0,4.0,5.0,67.86,70.83,1.706,2.63,61.9,2.13,2.0,3.0,3.0,0.0,64.29,65.28,1.745,3.05,68.0,1.5,1.0,4.0
Erik van Rooyen,12.0,17.0,12.0,48.21,61.11,1.818,-0.14,46.43,0.82,3.0,2.0,16.0,11.0,55.36,52.78,1.842,-0.2,61.76,0.73,2.0,4.0
Camilo Villegas,13.0,7.0,6.0,60.71,63.89,1.739,2.36,61.54,1.36,1.0,2.0,11.0,7.0,44.64,68.06,1.633,1.02,69.57,2.33,2.0,14.0
Rickie Fowler,13.0,19.0,10.0,55.36,56.94,1.902,-0.64,61.29,0.78,1.0,2.0,22.0,11.0,53.57,63.89,1.87,-1.7,38.46,0.68,2.0,4.0
Keith Mitchell,13.0,15.0,10.0,53.57,62.5,1.756,0.36,44.44,0.81,1.0,2.0,14.0,9.0,50.0,55.56,1.65,0.3,46.88,0.88,1.0,4.0
Ryan Palmer,13.0,7.0,7.0,57.14,70.83,1.804,1.88,76.19,1.75,9.0,3.0,23.0,10.0,62.5,58.33,1.81,-1.63,53.33,0.93,8.0,5.0
Brandon Hagy,13.0,5.0,3.0,60.71,66.67,1.708,2.86,58.33,1.64,1.0,2.0,13.0,6.0,50.0,56.94,1.805,0.67,58.06,1.07,2.0,10.0
Luke List,13.0,17.0,8.0,48.21,52.78,1.632,-0.45,50.0,0.94,1.0,4.0,9.0,9.0,51.79,70.83,1.765,0.81,66.67,2.14,3.0,9.0
Branden Grace,14.0,11.0,10.0,48.21,52.78,1.632,1.05,52.94,1.06,4.0,4.0,0.0,2.0,57.14,79.17,1.702,3.81,73.33,4.6,3.0,6.0
K.H. Lee,14.0,12.0,8.0,69.64,72.22,1.788,0.63,45.0,1.23,1.0,3.0,21.0,12.0,44.64,44.44,1.813,-1.9,60.0,0.47,2.0,7.0
Keegan Bradley,14.0,11.0,10.0,78.57,66.67,1.813,1.36,50.0,1.13,5.0,2.0,10.0,7.0,55.36,65.28,1.766,1.13,60.0,1.31,4.0,3.0
Adam Hadwin,14.0,7.0,9.0,69.64,66.67,1.729,2.36,62.5,1.6,2.0,2.0,10.0,8.0,66.07,66.67,1.75,1.13,58.33,1.5,1.0,3.0
Chesson Hadley,14.0,6.0,3.0,64.29,58.33,1.595,1.89,63.33,1.46,1.0,1.0,8.0,10.0,60.71,69.44,1.66,1.56,63.64,2.38,2.0,15.0
Si Woo Kim,14.0,6.0,7.0,58.93,75.0,1.796,2.13,61.11,1.89,1.0,3.0,12.0,7.0,51.79,72.22,1.788,0.06,60.0,1.88,1.0,9.0
Abraham Ancer,14.0,9.0,7.0,73.21,68.06,1.878,1.38,73.91,1.5,2.0,3.0,11.0,4.0,82.14,68.06,1.673,1.37,60.87,1.73,1.0,5.0
Martin Laird,15.0,19.0,9.0,69.64,69.44,1.9,-1.12,40.91,0.82,2.0,3.0,14.0,1.0,57.14,61.11,1.818,0.3,57.14,1.0,1.0,4.0
Hideki Matsuyama,15.0,9.0,10.0,66.07,63.89,1.761,1.55,57.69,1.23,2.0,4.0,10.0,5.0,71.43,65.28,1.617,1.62,60.0,1.92,1.0,5.0
Rory Sabbatini,15.0,18.0,9.0,60.71,68.06,1.796,-0.87,43.48,1.0,1.0,3.0,7.0,4.0,57.14,69.44,1.76,2.12,68.18,1.9,2.0,10.0
K.J. Choi,15.0,18.0,7.0,53.57,59.72,1.837,-0.58,65.52,0.82,3.0,10.0,16.0,4.0,62.5,75.0,1.796,-1.0,50.0,1.5,2.0,12.0
Bo Van Pelt,16.0,15.0,6.0,64.29,55.56,1.675,-0.36,56.25,0.93,1.0,1.0,8.0,10.0,48.21,69.44,1.62,1.81,59.09,2.0,1.0,6.0
Denny McCarthy,16.0,6.0,5.0,73.21,65.28,1.809,2.61,68.0,1.78,3.0,2.0,14.0,3.0,67.86,61.11,1.727,0.13,57.14,1.0,2.0,3.0
Vincent Whaley,16.0,9.0,8.0,64.29,55.56,1.775,1.14,68.75,1.25,4.0,1.0,13.0,12.0,55.36,61.11,1.773,0.86,57.14,1.0,3.0,2.0
Cameron Champ,16.0,21.0,9.0,62.5,65.28,1.894,-1.13,60.0,0.92,1.0,5.0,14.0,7.0,53.33,81.94,1.831,-0.93,53.85,2.86,4.0,13.0
Rafael Campos,16.0,1.0,0.0,62.5,66.67,1.792,3.14,87.5,4.67,1.0,1.0,3.0,2.0,58.93,79.17,1.754,3.06,80.0,4.2,1.0,6.0
Troy Merritt,16.0,10.0,4.0,73.21,63.89,1.717,0.89,50.0,1.07,1.0,1.0,9.0,8.0,73.21,65.28,1.745,1.98,72.0,2.0,1.0,8.0
Ben Martin,16.0,5.0,4.0,83.93,66.67,1.708,2.14,70.83,2.13,2.0,1.0,20.0,10.0,53.57,69.44,1.8,-1.19,45.45,1.21,1.0,6.0
Joseph Bramlett,16.0,6.0,5.0,66.07,66.67,1.833,1.89,70.83,1.78,1.0,1.0,14.0,10.0,55.36,66.67,1.729,0.31,58.33,1.64,3.0,6.0
Lanto Griffin,16.0,11.0,9.0,48.21,69.44,1.7,0.88,36.36,1.36,5.0,3.0,10.0,2.0,50.0,62.5,1.756,1.3,55.56,1.21,4.0,4.0
Matthew NeSmith,16.0,13.0,10.0,55.36,56.94,1.805,0.86,61.29,1.06,1.0,2.0,9.0,10.0,64.29,62.5,1.8,1.1,66.67,1.17,4.0,7.0
Martin Trainer,17.0,15.0,4.0,57.14,50.0,1.833,-0.36,69.44,0.79,1.0,1.0,11.0,8.0,55.36,66.67,1.771,0.25,75.0,2.43,1.0,12.0
Kelly Kraft,17.0,16.0,7.0,64.29,66.67,1.792,-0.13,50.0,1.0,1.0,10.0,16.0,12.0,48.21,61.11,1.75,-0.23,75.0,1.63,1.0,14.0
Chase Seiffert,17.0,7.0,7.0,71.43,63.89,1.804,1.64,73.08,1.5,3.0,1.0,6.0,13.0,58.93,72.22,1.712,2.61,50.0,1.64,2.0,2.0
Tyler Duncan,17.0,12.0,1.0,76.79,66.67,1.833,0.39,62.5,1.0,1.0,1.0,16.0,9.0,60.71,63.89,1.891,-0.2,57.69,0.83,2.0,4.0
Aaron Wise,17.0,8.0,0.0,55.36,61.11,1.682,2.11,64.29,1.4,2.0,2.0,17.0,9.0,50.0,69.44,1.92,-0.62,54.55,0.87,1.0,3.0
Doug Ghim,17.0,10.0,3.0,69.64,79.17,1.895,1.13,73.33,2.29,2.0,3.0,13.0,9.0,73.21,55.56,1.85,0.55,62.5,0.86,1.0,4.0
Doc Redman,17.0,18.0,11.0,53.57,55.56,1.825,-0.7,53.13,0.61,1.0,4.0,25.0,7.0,71.43,69.44,1.78,-1.87,50.0,1.08,1.0,11.0
Vaughn Taylor,17.0,13.0,10.0,66.07,73.61,1.792,0.56,68.42,1.86,1.0,6.0,10.0,8.0,78.57,68.06,1.714,1.43,69.57,2.13,1.0,8.0
Rafa Cabrera Bello,17.0,25.0,14.0,76.79,51.39,1.865,-2.13,65.71,0.6,1.0,5.0,14.0,11.0,82.14,80.56,1.81,0.06,64.29,2.33,2.0,15.0
Graeme McDowell,18.0,2.0,2.0,75.0,69.44,1.66,2.89,59.09,2.0,1.0,1.0,17.0,10.0,73.21,69.44,1.78,-0.69,59.09,1.44,1.0,15.0
Scottie Scheffler,18.0,4.0,6.0,82.14,76.39,1.673,3.12,64.71,2.88,3.0,5.0,9.0,11.0,35.71,65.28,1.809,1.1,68.0,1.27,2.0,7.0
Tom Lewis,18.0,15.0,7.0,75.0,62.5,1.756,-0.36,51.85,1.0,2.0,1.0,13.0,12.0,44.64,69.44,1.82,0.86,45.45,1.0,1.0,2.0
Sung Kang,19.0,22.0,9.0,42.86,50.0,1.75,-2.15,50.0,0.74,2.0,7.0,20.0,9.0,64.29,65.28,1.83,-0.77,56.0,0.92,1.0,8.0
Scott Stallings,19.0,12.0,8.0,69.64,68.06,1.735,1.23,73.91,2.0,2.0,8.0,10.0,7.0,64.29,73.61,1.849,0.56,68.42,2.0,1.0,9.0
Sebastian Cappelen,19.0,10.0,5.0,51.79,63.89,1.717,0.89,53.85,1.21,1.0,1.0,17.0,8.0,60.71,56.94,1.732,-0.02,70.97,1.3,1.0,8.0
Jimmy Walker,19.0,16.0,9.0,39.29,52.78,1.763,0.11,52.94,0.81,1.0,2.0,20.0,6.0,44.64,69.44,1.76,-0.32,59.09,1.33,1.0,11.0
Nick Taylor,19.0,13.0,9.0,58.93,66.67,1.813,0.38,58.33,1.17,1.0,3.0,9.0,11.0,50.0,55.56,1.725,1.1,75.0,1.56,2.0,7.0
D.J. Trahan,19.0,13.0,6.0,66.07,58.33,1.857,0.14,66.67,0.91,3.0,1.0,17.0,11.0,48.21,54.17,1.821,-0.14,54.55,0.69,2.0,2.0
Pat Perez,20.0,12.0,5.0,69.64,63.89,1.848,0.39,65.38,1.08,2.0,1.0,14.0,13.0,51.79,55.56,1.725,0.61,56.25,0.87,1.0,2.0
Sepp Straka,20.0,5.0,3.0,66.07,70.83,1.843,2.14,76.19,1.86,2.0,1.0,12.0,10.0,64.29,69.44,1.78,1.11,50.0,1.17,1.0,2.0
Padraig Harrington,21.0,15.0,7.0,64.29,55.56,1.775,-0.36,53.13,0.82,1.0,1.0,12.0,9.0,53.57,61.11,1.75,0.8,53.57,1.0,2.0,4.0
Charl Schwartzel,21.0,15.0,11.0,62.5,66.67,1.896,0.36,58.33,0.77,1.0,2.0,17.0,12.0,48.21,61.11,1.864,-0.9,57.14,0.69,1.0,7.0
John Huh,21.0,9.0,10.0,71.43,58.33,1.857,1.86,76.67,1.43,2.0,2.0,17.0,10.0,57.14,51.39,1.73,-0.45,51.43,0.7,1.0,4.0
Beau Hossler,21.0,17.0,13.0,57.14,62.5,1.867,-0.14,59.26,0.79,1.0,2.0,15.0,10.0,64.29,63.89,1.696,0.18,57.69,1.45,1.0,8.0
Cam Davis,21.0,12.0,9.0,51.79,68.06,1.878,1.11,47.83,1.0,1.0,2.0,13.0,10.0,32.14,50.0,1.722,0.1,58.33,0.81,5.0,7.0
Joel Dahmen,22.0,0.0,1.0,69.64,68.06,1.633,3.39,78.26,3.17,1.0,1.0,19.0,10.0,83.93,51.39,1.649,-0.82,60.0,1.0,1.0,8.0
Kris Ventura,23.0,13.0,10.0,50.0,54.17,1.564,0.55,51.52,1.06,2.0,4.0,14.0,8.0,60.71,72.22,1.769,0.31,45.0,1.55,1.0,6.0
Ryan Moore,24.0,11.0,9.0,76.79,65.28,1.66,0.88,60.0,1.5,2.0,3.0,11.0,9.0,78.57,69.44,1.72,1.18,68.18,1.78,1.0,8.0
Brendan Steele,25.0,6.0,10.0,66.07,61.11,1.75,2.61,64.29,1.55,8.0,2.0,12.0,9.0,55.36,62.5,1.756,0.63,59.26,1.25,7.0,3.0
Will Gordon,26.0,10.0,6.0,71.43,65.28,1.809,0.89,60.0,1.2,5.0,1.0,13.0,8.0,69.64,66.67,1.771,0.86,37.5,0.89,4.0,2.0
Joel Dahmen,0.0,19.0,10.0,83.93,51.39,1.649,-0.82,60.0,1.0,1.0,7.0,8.0,6.0,50.0,73.61,1.66,1.77,57.89,2.33,5.0,13.0
Rafael Campos,1.0,3.0,2.0,58.93,79.17,1.754,3.06,80.0,4.2,1.0,5.0,16.0,11.0,58.93,73.61,1.83,-0.23,57.89,1.44,1.0,13.0
Sam Ryder,1.0,7.0,4.0,58.93,72.22,1.75,2.36,50.0,1.31,1.0,1.0,13.0,10.0,57.14,75.0,1.759,0.56,55.56,1.78,1.0,5.0
Michael Gligic,2.0,17.0,9.0,55.36,73.61,1.811,-0.44,52.63,1.3,1.0,5.0,5.0,5.0,44.64,65.28,1.723,2.36,76.0,2.29,3.0,17.0
Graeme McDowell,2.0,17.0,10.0,73.21,69.44,1.78,-0.69,59.09,1.44,1.0,14.0,14.0,9.0,59.62,59.72,1.814,0.41,65.52,0.9,1.0,16.0
Emiliano Grillo,3.0,10.0,10.0,62.5,61.11,1.682,1.3,50.0,1.19,2.0,3.0,6.0,6.0,55.36,73.61,1.717,2.31,68.42,2.63,1.0,5.0
Hudson Swafford,3.0,7.0,5.0,58.93,79.17,1.789,1.25,80.0,5.67,2.0,11.0,16.0,11.0,91.67,72.22,1.769,-1.43,55.0,1.8,1.0,12.0
Danny Willett,4.0,12.0,9.0,55.36,62.5,1.778,0.8,62.96,1.14,1.0,3.0,16.0,2.0,48.21,66.67,1.75,0.79,50.0,1.46,1.0,15.0
Brice Garnett,5.0,10.0,7.0,75.0,62.5,1.8,1.61,70.37,1.18,1.0,1.0,4.0,5.0,67.86,77.78,1.732,2.81,87.5,4.75,1.0,5.0
Ben Martin,5.0,20.0,10.0,53.57,69.44,1.8,-1.19,45.45,1.21,1.0,5.0,19.0,5.0,60.71,65.28,1.681,-0.07,60.0,1.8,1.0,10.0
Sepp Straka,5.0,12.0,10.0,64.29,69.44,1.78,1.11,50.0,1.17,1.0,1.0,13.0,11.0,39.29,59.72,1.744,0.1,58.62,0.93,1.0,6.0
David Hearn,6.0,22.0,6.0,80.36,70.83,1.725,-0.82,47.62,1.27,1.0,10.0,4.0,6.0,53.57,61.11,1.682,2.61,71.43,2.38,1.0,17.0
Thomas Pieters,6.0,8.0,3.0,64.29,63.89,1.739,1.81,84.62,3.2,3.0,5.0,16.0,4.0,39.29,63.89,1.935,1.59,50.0,0.5,2.0,23.0
Thomas Detry,6.0,13.0,10.0,75.0,66.67,1.688,0.87,45.83,1.46,4.0,4.0,11.0,5.0,78.57,70.83,1.725,0.85,52.38,1.58,3.0,22.0
Joseph Bramlett,6.0,14.0,10.0,55.36,66.67,1.729,0.31,58.33,1.64,3.0,5.0,20.0,11.0,60.71,76.39,1.927,-1.07,52.94,0.92,2.0,7.0
Chesson Hadley,6.0,8.0,10.0,60.71,69.44,1.66,1.56,63.64,2.38,2.0,14.0,7.0,5.0,46.43,68.06,1.816,1.86,78.26,2.33,1.0,17.0
Jhonattan Vegas,7.0,11.0,11.0,60.71,63.89,1.826,1.36,61.54,1.08,4.0,1.0,16.0,9.0,58.93,61.11,1.864,-0.37,57.14,0.87,3.0,2.0
Roberto Castro,7.0,13.0,9.0,71.43,75.0,1.741,0.56,66.67,2.0,1.0,5.0,8.0,6.0,76.79,81.94,1.814,1.48,84.62,4.0,1.0,41.0
Chase Seiffert,7.0,6.0,13.0,58.93,72.22,1.712,2.61,50.0,1.64,2.0,1.0,8.0,5.0,48.21,77.78,1.768,1.81,62.5,2.38,1.0,5.0
Tyler McCumber,7.0,12.0,11.0,48.21,59.72,1.744,1.11,62.07,1.27,2.0,1.0,9.0,6.0,57.14,68.06,1.776,1.38,65.22,1.42,1.0,2.0
Peter Uihlein,8.0,13.0,6.0,37.5,55.56,1.775,0.56,75.0,1.45,3.0,5.0,19.0,9.0,39.29,56.94,1.683,-0.52,54.84,0.86,2.0,7.0
Roger Sloan,8.0,10.0,12.0,50.0,73.61,1.811,1.61,42.11,1.21,2.0,1.0,9.0,6.0,57.14,80.56,1.793,1.56,71.43,2.67,1.0,5.0
Justin Suh,9.0,12.0,8.0,64.29,73.61,1.792,0.81,68.42,2.0,2.0,5.0,12.0,8.0,55.36,62.5,1.733,0.92,51.85,1.13,1.0,9.0
Vincent Whaley,9.0,13.0,12.0,55.36,61.11,1.773,0.86,57.14,1.0,3.0,1.0,8.0,8.0,57.14,72.22,1.75,1.81,65.0,2.25,2.0,5.0
Charles Howell III,9.0,6.0,8.0,69.64,76.39,1.727,2.13,47.06,1.8,2.0,2.0,13.0,11.0,39.29,59.72,1.86,0.55,65.52,0.83,1.0,3.0
Nate Lashley,9.0,13.0,11.0,51.79,61.11,1.75,0.86,60.71,1.27,5.0,1.0,20.0,8.0,51.79,54.17,1.769,-1.37,54.55,0.93,4.0,2.0
Bronson Burgoon,9.0,22.0,11.0,42.86,65.28,1.851,-1.39,44.0,0.73,5.0,1.0,13.0,8.0,46.43,76.39,1.745,0.56,52.94,1.67,4.0,5.0
David Lingmerth,9.0,15.0,5.0,66.07,66.67,1.771,0.06,66.67,1.5,1.0,5.0,13.0,2.0,60.71,69.44,1.66,0.23,59.09,2.11,1.0,41.0
Josh Teater,10.0,9.0,7.0,66.07,66.67,1.646,1.56,58.33,2.0,4.0,5.0,16.0,11.0,82.14,75.0,1.815,-0.07,44.44,1.14,3.0,7.0
Ryan Brehm,10.0,6.0,6.0,55.36,73.61,1.698,2.31,73.68,3.0,1.0,5.0,17.0,7.0,58.93,72.22,1.75,-0.48,50.0,1.42,4.0,13.0
Troy Merritt,10.0,9.0,8.0,73.21,65.28,1.745,1.98,72.0,2.0,1.0,7.0,19.0,8.0,55.36,63.89,1.87,-0.88,57.69,0.75,1.0,9.0
Sebastian Cappelen,10.0,17.0,8.0,60.71,56.94,1.732,-0.02,70.97,1.3,1.0,7.0,22.0,7.0,64.29,69.44,1.78,-1.12,63.64,1.44,1.0,10.0
Wes Roach,10.0,7.0,6.0,71.43,72.22,1.731,2.06,70.0,2.5,2.0,5.0,23.0,10.0,66.07,58.33,1.786,-1.52,43.33,0.84,1.0,7.0
Taylor Pendrith,10.0,15.0,6.0,41.07,66.67,1.958,0.06,83.33,1.5,2.0,5.0,16.0,9.0,35.71,47.22,1.794,1.59,50.0,0.45,1.0,23.0
Charley Hoffman,10.0,7.0,3.0,41.07,73.61,1.774,1.88,52.63,1.46,4.0,2.0,8.0,8.0,46.43,54.17,1.795,1.8,69.7,1.25,3.0,3.0
Will Gordon,10.0,13.0,8.0,69.64,66.67,1.771,0.86,37.5,0.89,4.0,1.0,15.0,9.0,41.07,56.94,1.707,0.05,48.39,0.82,3.0,3.0
Tim Wilkinson,10.0,10.0,4.0,58.93,63.89,1.63,1.31,61.54,1.9,3.0,5.0,12.0,9.0,75.0,63.89,1.674,0.93,65.38,1.89,2.0,7.0
Robby Shelton,11.0,13.0,8.0,51.79,55.56,1.7,-0.19,68.75,1.55,2.0,8.0,8.0,2.0,53.57,63.89,1.63,1.87,57.69,1.54,1.0,9.0
Alex Cejka,11.0,11.0,10.0,67.86,70.83,1.686,0.55,57.14,1.78,5.0,31.0,16.0,8.0,73.21,65.28,1.787,-0.52,68.0,1.5,4.0,41.0
Scott Brown,11.0,16.0,6.0,53.57,61.11,1.705,-0.37,57.14,1.25,3.0,2.0,15.0,6.0,71.43,73.61,1.811,0.06,63.16,1.44,2.0,5.0
Mark Anderson,11.0,17.0,6.0,62.5,75.0,1.722,-0.44,44.44,1.45,1.0,5.0,9.0,5.0,39.29,63.89,1.717,1.36,61.54,1.42,1.0,17.0
Patrick Rodgers,11.0,17.0,9.0,55.36,59.72,1.721,-0.62,55.17,1.0,4.0,2.0,16.0,10.0,48.21,59.72,1.814,-0.2,48.28,0.65,3.0,3.0
Stephan Jaeger,12.0,16.0,9.0,57.14,72.22,1.75,-0.19,60.0,1.55,2.0,5.0,19.0,5.0,35.71,48.61,1.857,0.84,54.05,0.47,1.0,23.0
